observatory,mjd,plate,exposure,image_type,notes
apo,55929,5604,20,dome_flat,appears dark - use domeflat from subsequent plate/cartridge (34)
apo,55929,5604,21,dome_flat,appears dark - use domeflat from subsequent plate/cartridge (34)
apo,55991,,103,,appears dark
apo,55999,,62,,appears dark
apo,56048,5646,,,no dome flat - use flat from previous cartridge
apo,56067,,18,calibration,no light
apo,56067,,19,calibration,no light
apo,56067,,20,calibration,no light
apo,56067,,21,calibration,no light
apo,56067,,22,calibration,no light
apo,56067,,23,calibration,no light
apo,56067,,24,calibration,no light
apo,56067,,25,calibration,no light
apo,56169,,96,calibration,no light
apo,56169,,97,calibration,no light
apo,56169,,98,calibration,no light
apo,56169,,99,calibration,no light
apo,56169,,100,calibration,no light
apo,56169,,101,calibration,no light
apo,56169,,102,calibration,no light
apo,56213,,-7,calibration,calibrations look like darks
apo,56231,,98,dome_flat,dark - need other flat for plate 5517 (use internal 105)
apo,56234,6212,,dome_flat,no dome flat - use flat from previous cartridge
apo,56259,,41,dome_flat,observers reported this dome flat as looking funny on initial reads
apo,56261,,108,calibration,calibrations appear as dark frames
apo,56261,,109,calibration,calibrations appear as dark frames
apo,56261,,110,calibration,calibrations appear as dark frames
apo,56261,,111,calibration,calibrations appear as dark frames
apo,56261,,112,calibration,calibrations appear as dark frames
apo,56261,,113,calibration,calibrations appear as dark frames
apo,56261,,114,calibration,calibrations appear as dark frames
apo,56265,,85,calibration,calibrations appear as dark frames
apo,56265,,86,calibration,calibrations appear as dark frames
apo,56265,,87,calibration,calibrations appear as dark frames
apo,56265,,88,calibration,calibrations appear as dark frames
apo,56265,,89,calibration,calibrations appear as dark frames
apo,56265,,90,calibration,calibrations appear as dark frames
apo,56265,,91,calibration,calibrations appear as dark frames
apo,56295,,10,object,aborted exposures - no dome
apo,56295,,11,object,aborted exposures - no dome
apo,56295,,12,object,aborted exposures - no dome
apo,56295,,13,object,aborted exposures - no dome
apo,56295,,14,object,aborted exposures - no dome
apo,56295,,15,object,aborted exposures - no dome
apo,56295,,16,object,aborted exposures - no dome
apo,56314,,48,object,aborted exposure
apo,56324,,65,object,aborted exposure
apo,56346,,37,object,aborted exposure
apo,56350,,11,object,reduction problems
apo,56350,,12,object,reduction problems
apo,56350,,13,object,reduction problems
apo,56350,,14,object,reduction problems
apo,56350,,15,object,reduction problems
apo,56350,,16,object,reduction problems
apo,56350,,17,object,reduction problems
apo,56350,,18,object,reduction problems
apo,56363,,155,object,aborted exposure
apo,56363,,159,object,dither problems
apo,56363,,160,object,dither problems
apo,56363,,161,object,dither problems
apo,56363,,162,object,dither problems
apo,56370,,164,object,aborted exposure
apo,56372,,37,object,weather - aborted exposures/no dome
apo,56372,,38,object,weather - aborted exposures/no dome
apo,56372,,39,object,weather - aborted exposures/no dome
apo,56384,,33,object,dither problems - 1.5 pixel shift
apo,56384,,34,object,dither problems - 1.5 pixel shift
